_time,custom,x0,x0dot,x1,x1dot
0,-10,1,10,0,-0.841471
0.01,-9.99,1.09951,9.90137,-0.00863006,-0.88244
0.02,-9.96,1.19803,9.80238,-0.0176206,-0.914054
0.03,-9.91,1.29555,9.70312,-0.0268804,-0.936285
0.04,-9.84,1.39209,9.60368,-0.0363158,-0.949211
0.05,-9.75,1.48763,9.50417,-0.0458345,-0.953001
0.06,-9.64,1.58217,9.40465,-0.0553465,-0.94791
0.07,-9.51,1.67572,9.30524,-0.0647645,-0.934269
0.08,-9.36,1.76828,9.206,-0.0740049,-0.912479
0.09,-9.19,1.85984,9.10701,-0.0829885,-0.882997
0.1,-9,1.95042,9.00836,-0.0916409,-0.846328
0.11,-8.79,2.04001,8.91011,-0.0998929,-0.803019
0.12,-8.56,2.12862,8.81232,-0.107681,-0.753648
0.13,-8.31,2.21626,8.71505,-0.114948,-0.698817
0.14,-8.04,2.30293,8.61836,-0.121641,-0.639141
0.15,-7.75,2.38863,8.52228,-0.127716,-0.575245
0.16,-7.44,2.47337,8.42687,-0.133134,-0.507755
0.17,-7.11,2.55717,8.33214,-0.137861,-0.437293
0.18,-6.76,2.64002,8.23813,-0.141871,-0.364469
0.19,-6.39,2.72193,8.14486,-0.145144,-0.289879
0.2,-6,2.80292,8.05234,-0.147665,-0.214101
0.21,-5.59,2.88298,7.96058,-0.149424,-0.137687
0.22,-5.16,2.96213,7.86958,-0.150418,-0.0611664
0.23,-4.71,3.04038,7.77935,-0.150648,0.0149627
0.24,-4.24,3.11772,7.68988,-0.150121,0.0902316
0.25,-3.75,3.19418,7.60115,-0.148847,0.164204
0.26,-3.24,3.26975,7.51316,-0.146842,0.236477
0.27,-2.71,3.34444,7.42588,-0.144124,0.306682
0.28,-2.16,3.41827,7.33928,-0.140716,0.374484
0.29,-1.59,3.49123,7.25336,-0.136643,0.439584
0.3,-1,3.56334,7.16807,-0.131934,0.501717
0.31,-0.39,3.63459,7.08338,-0.126619,0.560649
0.32,0.24,3.70501,6.99927,-0.120732,0.616183
0.33,0.89,3.77458,6.91569,-0.114307,0.668151
0.34,1.56,3.84332,6.83262,-0.107381,0.716419
0.35,2.25,3.91123,6.75001,-0.0999912,0.760879
0.36,2.96,3.97832,6.66782,-0.0921762,0.801456
0.37,3.69,4.04459,6.58602,-0.083975,0.838097
0.38,4.44,4.11004,6.50457,-0.0754272,0.870779
0.39,5.21,4.17468,6.42343,-0.0665725,0.899499
0.4,6,4.23851,6.34255,-0.0574502,0.924279
0.41,6.81,4.30154,6.2619,-0.0480997,0.945161
0.42,7.64,4.36375,6.18144,-0.0385597,0.962205
0.43,8.49,4.42517,6.10113,-0.028868,0.975489
0.44,9.36,4.48578,6.02094,-0.019062,0.985108
0.45,10.25,4.54558,5.94082,-0.00917764,0.991168
0.46,11.16,4.60459,5.86075,0.000750004,0.993791
0.47,12.09,4.6628,5.78069,0.0106872,0.993106
0.48,13.04,4.72021,5.7006,0.0206016,0.989256
0.49,14.01,4.77681,5.62046,0.0304623,0.982389
0.5,15,4.83261,5.54024,0.0402399,0.97266
0.51,16.01,4.88762,5.45991,0.0499066,0.96023
0.52,17.04,4.94181,5.37944,0.0594361,0.945263
0.53,18.09,4.9952,5.2988,0.0688039,0.927928
0.54,19.16,5.04779,5.21799,0.0779873,0.908393
0.55,20.25,5.09956,5.13697,0.086965,0.886827
0.56,21.36,5.15053,5.05572,0.0957176,0.863402
0.57,22.49,5.20068,4.97423,0.104227,0.838285
0.58,23.64,5.25001,4.89248,0.112478,0.811642
0.59,24.81,5.29852,4.81046,0.120456,0.783638
0.6,26,5.34622,4.72815,0.128147,0.754431
0.61,27.21,5.39309,4.64554,0.135541,0.724179
0.62,28.44,5.43913,4.56263,0.142628,0.693032
0.63,29.69,5.48434,4.4794,0.149399,0.661136
0.64,30.96,5.52871,4.39585,0.155848,0.628633
0.65,32.25,5.57225,4.31197,0.16197,0.595656
0.66,33.56,5.61495,4.22776,0.16776,0.562335
0.67,34.89,5.65681,4.14322,0.173216,0.528792
0.68,36.24,5.69782,4.05834,0.178336,0.495143
0.69,37.61,5.73797,3.97312,0.183119,0.461496
0.7,39,5.77728,3.88757,0.187566,0.427955
0.71,40.41,5.81572,3.80168,0.191678,0.394615
0.72,41.84,5.85331,3.71546,0.195459,0.361565
0.73,43.29,5.89003,3.62891,0.198911,0.328888
0.74,44.76,5.92589,3.54204,0.202038,0.296658
0.75,46.25,5.96087,3.45485,0.204846,0.264947
0.76,47.76,5.99498,3.36734,0.207339,0.233817
0.77,49.29,6.02822,3.27952,0.209524,0.203325
0.78,50.84,6.06057,3.19141,0.211408,0.173523
0.79,52.41,6.09204,3.103,0.212997,0.144457
0.8,54,6.12263,3.0143,0.2143,0.116167
0.81,55.61,6.15233,2.92532,0.215323,0.0886885
0.82,57.24,6.18114,2.83608,0.216076,0.0620523
0.83,58.89,6.20905,2.74657,0.216567,0.0362846
0.84,60.56,6.23607,2.6568,0.216805,0.011407
0.85,62.25,6.26219,2.5668,0.216798,-0.0125625
0.86,63.96,6.2874,2.47656,0.216557,-0.0356096
0.87,65.69,6.31172,2.38609,0.216089,-0.0577236
0.88,67.44,6.33512,2.29541,0.215405,-0.0788965
0.89,69.21,6.35762,2.20451,0.214514,-0.0991234
0.9,71,6.37921,2.11343,0.213426,-0.118402
0.91,72.81,6.39989,2.02215,0.212149,-0.136731
0.92,74.64,6.41966,1.93069,0.210694,-0.154114
0.93,76.49,6.4385,1.83907,0.20907,-0.170553
0.94,78.36,6.45644,1.74729,0.207286,-0.186053
0.95,80.25,6.47345,1.65535,0.205352,-0.200621
0.96,82.16,6.48954,1.56328,0.203277,-0.214263
0.97,84.09,6.50471,1.47107,0.20107,-0.226988
0.98,86.04,6.51896,1.37874,0.19874,-0.238804
0.99,88.01,6.53229,1.2863,0.196297,-0.249719
